序号,单词,音标,词性,中文释义,英文例句,分类,小节
33,restaurant,/ˈrestrɑːnt/,n.,餐馆,There is a good restaurant on the upper floor. 楼 上有一家很好的餐馆。,Level 1,Day 6
34,face,/feɪs/,n.,脸；表面,The 面临财政危机。,Level 1,Day 6
35,sense,/sens/,n.,感觉；道理,Lisa sensed that he did not believe her. 莉萨意识 到他不相信她。 | a strong sense of duty 很强的责任感,Level 1,Day 6
36,die,/daɪ/,v.,死亡 [过去式died 过去分词died 现在分词dying],A year later my dog died. 1 年后，我的狗死了。,Level 1,Day 6
37,dead,/ded/,adj.,死的,a dead person 死人,Level 1,Day 6
38,death,/deθ/,n.,死亡,She knew she was close to death. 她知道自己已 濒临死亡。,Level 1,Day 6
39,live,/lɪv/,v.,居住；活着 24<< 零基础词汇讲义Level 1,She has lived here for 10 years. 她在这里住了10 年了。,Level 1,Day 6
40,life,/laɪf/,n.,生活，生命,Smoking can shorten your life. 吸烟会缩短你的 寿命。,Level 1,Day 6
1,mean,/miːn/,v.,意味着，有...目的,I didn't mean to hurt you. 我不是有意要伤害你。,Level 1,Day 7
2,mind,/maɪnd/,n.,头脑；心思,I hope you don't mind the noise. 希望你不介意这 声音。,Level 1,Day 7
3,memory,/ˈmeməri/,n.,记忆；记忆力,He had a good memory for faces. 他对相貌有很 好的记忆力。,Level 1,Day 7
4,miss,/mɪs/,v.,错过；想念,If I don't leave now I'll miss my plane.现在不走我 就赶不上飞机了。,Level 1,Day 7
5,forget,/fərˈɡet/,v.,忘记,Let's forget the thing. 线｜教研团队 咱们忘记这件事吧。 [过去式forgot 过去分词forgotten 现在分词forgetting],Level 1,Day 7
6,remember,/rɪˈmembər/,,,,Level 1,Day 7
7,believe,/bɪˈliːv/,v.,相信；认为,The police didn't believe her story. 警方不相信她 对事情的描述。,Level 1,Day 7
8,agree,/əˈɡriː/,v.,同意,She agreed to let me go early.她同意让我早走。,Level 1,Day 7
9,agreement,/əˈɡriːmənt/,n.,同意；协议,They signed an agreement. 他们签署了一份协议。,Level 1,Day 7
10,worry,/ˈwɜːri/,v.,担心,I worry about her. 我为她担心。,Level 1,Day 7
11,concern,/kənˈsɜːrn/,v.,涉及；使担心,What concerns me is our lack of preparation. 让,Level 1,Day 7
12,care,/ker/,n.,关怀；忧虑,They hired a nurse to care for her. 他们雇了个护 士来照顾她。,Level 1,Day 7
13,decide,/dɪˈsaɪd/,v.,决定,Think about it very carefully before you decide. 在你决定之前慎重地考虑。 | It's a difficult decision for any doctor. 这对任何 医生来说都是一个困难的决定。,Level 1,Day 7
15,understand,/ˌʌndərˈstænd/,v.,理解，明白,I don't understand what you are talking about. 不明白你在说什么。,Level 1,Day 7
16,doubt,/daʊt/,n.,怀疑,There was little doubt in my mind. 我心里几乎没 有疑问。,Level 1,Day 7
17,wonder,/ˈwʌndər/,v.,想知道,I wondered what that noise was. 我想知道那噪音 是什么。,Level 1,Day 7
18,imagine,/ɪˈmædʒɪn/,v.,想象 出他的反应。 26<< 零基础词汇讲义Level 1,,Level 1,Day 7
19,assume,/əˈsuːm/,v.,设想；承担,I assume that it is his car. 我认为这就是他的车。 | assume responsibility 承担责任,Level 1,Day 7
20,expect,/ɪkˈspekt/,v.,期望；指望,It would be unwise to expect too much. 期望太多 是不明智的。,Level 1,Day 7
21,guess,/ɡes/,v.,猜测,I guess that he is right. 我想他是对的。,Level 1,Day 7
22,consider,/kənˈsɪdər/,v.,考虑；认为,They sat down to consider the problem. 他们坐下 来考虑这一问题。,Level 1,Day 7
23,idea,/aɪˈdiːə/,n.,想法,I really like the idea of helping people. 我非常喜 欢帮助他人这个主意。,Level 1,Day 7
24,garden,/ˈɡɑːrdn/,n.,花园,There's a garden at the front of the house. 房子的 前面有一座花园。,Level 1,Day 7
25,sea,/siː/,n.,海,Most of the rooms face the sea. 多数房间面朝大海。,Level 1,Day 7
26,smile,/smaɪl/,v.,微笑,His smile was warm and friendly. 他的微笑热情 而友好。,Level 1,Day 7
27,more,/mɔːr/,adv.,更多 det. 更多的,More and more people are using the Internet. 来越多人在使用互联网。,Level 1,Day 7
28,get,/ɡet/,v.,得到；变得 [过去式got 过去分词got 现在分词getting 第三人 gets] 称单数 收到戴夫的一封来信。,Don't cry or get angry. 不要哭或者生气。,Level 1,Day 7
29,study,/ˈstʌdi/,n.,学习，研究,He studied History and Economics. 他学过历史 和经济学。,Level 1,Day 7
30,learn,/lɜːrn/,v.,学习；得知,You have to learn to face your problem. 你得学 会面对自己的问题。,Level 1,Day 7
31,teach,/tiːtʃ/,v.,教 [过去式taught 过去分词taught 现在分词teaching],She taught English to Japanese people. 她教日本 人英语。,Level 1,Day 7
32,test,/test/,n.,测试,,Level 1,Day 7
33,education,/ˌedʒuˈkeɪʃn/,n.,教育,The state provides free education. 政府提供免费 教育。,Level 1,Day 7
34,issue,/ˈɪʃuː/,v.,发布；出版,You're just avoiding the issue. 你只不过是在回 避问题。 | They issued a special set of stamps. 他们发行了 一套特别邮票。,Level 1,Day 7
35,report,/rɪˈpɔːrt/,n.,报告,The report will be published on the Internet. 报告 将在互联网上公布。,Level 1,Day 7
36,paper,/ˈpeɪpər/,n.,纸；论文；报纸,You 你不能相信在报纸上读到的所有内容。 | a recent paper in the Journal of Medicine 最近刊 在《医学学报》上的一篇论文,Level 1,Day 7
37,article,/ˈɑːrtɪkl/,n.,文章,My article has been accepted for publication. 我 的文章已被采用准备发表。,Level 1,Day 7
38,course,/kɔːrs/,n.,课程；进程,a French course 法语课程 | These events changed the course of history. 这些 事件改变了历史的进程。,Level 1,Day 7
39,term,/tɜːrm/,n.,术语；学期；期限,,Level 1,Day 7
40,major,/ˈmeɪdʒər/,adj.,主要的；主修的 28<< 零基础词汇讲义Level 1,She majored in History at Stanford. 她在斯坦福 大学主修历史。 | Tokyo is a major financial center. 东京是主要的 金融中心。,Level 1,Day 7
1,information,/ˌɪnfərˈmeɪʃn/,n.,信息,I found this information on their website. 我在他 们的网站上发现了这一信息。,Level 1,Day 8
2,break,/breɪk/,v.,打破 [过去式broke 过去分词broken 现在分词breaking],The plane broke into three pieces. 那架飞机碎成 了3 块。,Level 1,Day 8
3,holiday,/ˈhɒlədi/,n.,假日,During his summer holiday he visited Russia. 假期间他游览了俄罗斯。,Level 1,Day 8
4,college,/ˈkɑːlɪdʒ/,n.,大学；学院,He's hoping to go to college next year.他希望明年 上大学。,Level 1,Day 8
5,university,/ˌjuːnɪˈvɜːrsəti/,n.,大学,Three colleges have come together to create a,Level 1,Day 8
6,book,/bʊk/,n.,书籍,I booked a wake-up call for 4:45 a.m. 我预订了 凌晨4 点45 分的叫醒电话。,Level 1,Day 8
7,page,/peɪdʒ/,n.,页,I drew a line across the page. 我在这一页上画了 一条横线。,Level 1,Day 8
8,author,/ˈɔːθər/,n.,作者 暑 e.g. Who is your favourite author? 你最喜欢哪位作家？,,Level 1,Day 8
9,staff,/stæf/,n.,职员,The staff were very good. 员工们都很棒。,Level 1,Day 8
10,president,/ˈprezɪdənt/,n.,总统；校长,the President of the United States 美国总统,Level 1,Day 8
11,human,/ˈhjuːmən/,,,,Level 1,Day 8
12,race,/reɪs/,n.,比赛；种族,"Who won the race ? 谁赢了赛跑？ | The college welcomes students of all races, faiths, and nationalities. 该学院欢迎来自各种族、有各种 宗教信仰和国籍的学生。 | People are better educated now. 现在人们教育程 度更高了。",Level 1,Day 8
14,person,/ˈpɜːrsn/,n.,人,He's a very caring person. 他是个非常体贴人的人。,Level 1,Day 8
15,personal,/ˈpɜːrsənl/,adj.,个人的,This is just a personal opinion. 这只是个人意见。,Level 1,Day 8
16,individual,/ˌɪndɪˈvɪdʒuəl/,adj.,个人的,What can you do as an individual? 作为个人你能 做些什么呢？,Level 1,Day 8
17,Internet,/ˈɪntərnet/,n.,因特网；互联网,More and more people are using the Internet. 来越多人在使用互联网。,Level 1,Day 8
18,robot,/ˈroʊbɑːt/,,,These cars are built by robots.这些汽车是由机器,Level 1,Day 8
19,communication,/kəˌmjuːnɪˈkeɪʃn/,n.,通讯；交流,Good communication is key to our success. 良好 的沟通是我们成功的关键。,Level 1,Day 8
20,born,/bɔːrn/,v.,出生,I was born on Christmas Day. 我出生在圣诞节。,Level 1,Day 8
21,aspect,/ˈæspekt/,n.,方面,Climate and environment affect aspects of our lives. 气候和环境影响我们生活的方方面面。,Level 1,Day 8
22,work,/wɜːrk/,n.,工作；作品,95 percent of these diets do not work. 这些节食 方法中的95%都不奏效。,Level 1,Day 8
23,job,/dʒɒb/,n.,工作；职业,Thousands of people have lost their jobs. 数千人 都丢了工作。,Level 1,Day 8
24,career,/kəˈrɪr/,n.,职业；事业,"During his career, he wrote more than fifty plays. 在他创作生涯里，他写了五十多部剧作。",Level 1,Day 8
25,firm,/fɜːrm/,n.,越 公司,a law firm 一家法律公司 | He made a firm decision. 他作出了明确的决定。,Level 1,Day 8
26,company,/ˈkʌmpəni/,,,,Level 1,Day 8
27,industry,/ˈɪndəstri/,n.,产业；工业,We are becoming one of the market leaders in fashion industry. 我们正在成为时装行业的领军者 之一。 | What are your office hours ? 你的办公时间是几 点到几点？,Level 1,Day 8
29,officer,/ˈɑːfɪsər/,n.,政府官员,An officer's job was to set an example. 一个官员 的任务就是树立榜样。,Level 1,Day 8
30,official,/əˈfɪʃl/,adj.,官方的；正式的,an official statement 官方声明,Level 1,Day 8
31,manage,/ˈmænɪdʒ/,v.,管理；经营,Managing your time is important. 管理好你的时 间很重要。,Level 1,Day 8
32,management,/ˈmænɪdʒmənt/,n.,管理；管理部门,We need to get more women into top management. 我们需要让更多的女性进入高管层。 年加 e.g. She has a seat on the board of directors. 她是董事 会成员。,Level 1,Day 8
34,position,/pəˈzɪʃn/,n.,位置；职位,He held a senior position in a large company.他在 一家大公司担任高级职务。 the 35. employ /ɪmˈplɔɪ/ | How many people does the company employ? 这 个公司雇用了多少人？,Level 1,Day 8
36,leader,/ˈliːdər/,n.,领导者,"She is a leader, not a follower. 她是领导者，不 是追随者。",Level 1,Day 8
37,nation,/ˈneɪʃn/,n.,国家；民族,It 一个感动了全民族的故事。,Level 1,Day 8
38,national,/ˈneɪʃn/,adj.,国家的,She's fighting for a place in the national team. 她 正努力争取加入国家队。,Level 1,Day 8
39,international,/ˌɪntərˈnæʃnəl/,adj.,国际的,There will be a working group on international issues. 他们会成立一个国际问题工作组。,Level 1,Day 8
40,country,/ˈkʌntri/,n.,国家；乡村,He entered the country illegally. 他通过非法途径 进入了这个国家。,Level 1,Day 8
1,city,/ˈsɪti/,n.,城市,We took some photos of the city. 我们拍了一些 这个城市的照片。,Level 1,Day 9
2,town,/taʊn/,n.,城镇,He lives the other side of town. 他住在城镇的另 一端。,Level 1,Day 9
3,village,/ˈvɪlɪdʒ/,n.,村庄,Her books are about village life. 她的书是关于乡 村生活的。,Level 1,Day 9
4,local,/ˈloʊkl/,adj.,当地的,She teaches at our local school. 她在我们当地的 学校任教。,Level 1,Day 9
5,region,/ˈriːdʒən/,n.,地区 线｜教研团队,Home prices are holding steady in most regions. 大多数地区的房价保持稳定。 32<< 零基础词汇讲义Level 1,Level 1,Day 9
6,area,/ˈeriə/,n.,区域,The survey was carried out in both urban and rural areas. 该调查在城市和乡村地区都开展了。,Level 1,Day 9
7,community,/kəˈmjuːnəti/,n.,社区；团体,The sense of community is lost. 团体意识没有了。,Level 1,Day 9
8,society,/səˈsaɪəti/,n.,社会；社团,We live in a multicultural society. 我们生活在一 个多元文化的社会中。,Level 1,Day 9
9,social,/ˈsoʊʃl/,adj.,社会的；社交的,social issues 社会问题 | a busy social life 繁忙的社交生活,Level 1,Day 9
10,produce,/prəˈdjuːs/,v.,生产；产生,The region produces over 50% of the country's wheat.这个地区出产全国50%以上的小麦。,Level 1,Day 9
11,production,/prəˈdʌkʃn/,,,,Level 1,Day 9
12,population,/ˌpɑːpjuˈleɪʃn/,n.,人口,The area has seen a rapid population growth. 地区人口快速增长。,Level 1,Day 9
13,railroad,/ˈreɪlroʊd/,n.,铁路；铁路公司,The railroad connects two cities. 这条铁路连接,Level 1,Day 9
14,quit,/kwɪt/,v.,退出；放弃,I decided to quit smoking. 我决定戒烟。,Level 1,Day 9
15,relate,/rɪˈleɪt/,v.,涉及；与……有某种联系,It is difficult to relate the two ideas in my mind. 我很难把这两种想法联系在一起。,Level 1,Day 9
16,relation,/rɪˈleɪʃn/,n.,关系,The relation between employees and employers becoming tense. 员工和雇主之间的关系变得紧张 起来。,Level 1,Day 9
17,relationship,/rɪˈleɪʃnʃɪp/,n.,关系,They decided to end their relationship. 他们决定 断绝关系。,Level 1,Day 9
18,culture,/ˈkʌltʃər/,n.,文化，文明,The children are taught to respect different 文化。,Level 1,Day 9
19,environment,/ɪnˈvaɪrənmənt/,,,The environment has become a very hot issue. 环,Level 1,Day 9
20,public,/ˈpʌblɪk/,n.,公众,The park is now open to the public. 那公园现在 对公众开放了。,Level 1,Day 9
21,customer,/ˈkʌstəmər/,n.,顾客,The firm has great customer relations. 此公司与 客户关系极好。,Level 1,Day 9
22,child,/tʃaɪld/,n.,儿童[复数children],"When I was a child, I lived in a village. 小时候我 住在乡村里。",Level 1,Day 9
23,adult,,adj.,成年的 is e.g. Children must be accompanied by an adult. 儿童 必须要有大人陪同。,,Level 1,Day 9
24,parent,/ˈperənt/,n.,父母,Children need their parents. 孩子们需要父母。,Level 1,Day 9
25,male,/meɪl/,adj.,男性的；雄性的,a male bird 雄鸟,Level 1,Day 9
26,female,/fiːmeɪl/,adj.,女性的；雌性的,,Level 1,Day 9
27,friend,/frend/,n.,朋友,I still want to be friends with Alison. 我仍然希望 同艾莉森做朋友。,Level 1,Day 9
28,group,/ɡruːp/,n.,组；团体,Our group meets on Friday mornings. 我们的组 员每周五上午碰面。,Level 1,Day 9
29,together,/təˈɡeðər/,,,We went on holiday together last summer.,Level 1,Day 9
30,alone,/əˈloʊn/,adj.,单独的,They avoid going out alone. 他们避免独自出门。,Level 1,Day 9
31,network,/ˈnetwɜːrk/,n.,网络；关系网,This is a secure network. 这是一个安全的网络。,Level 1,Day 9
32,match,/mætʃ/,n.,比赛；匹配,Tonight is the biggest match of his career. 今晚是 他职业生涯中最重要的比赛。,Level 1,Day 9
33,interest,/ˈɪntrest/,n.,兴趣；利益,Her main interests are music and tennis.她的主要 爱好是音乐和网球。 34<< 零基础词汇讲义Level 1 government.这些改革对地方政府最有利。,Level 1,Day 9
34,propose,/prəˈpoʊz/,v.,提议；求婚,We propose an early start tomorrow. 我们提议明 天早早出发。,Level 1,Day 9
35,proposal,/prəˈpoʊzl/,n.,提议；求婚,This proposal has attracted a lot of interest. 这个 提案引起了很大的兴趣。,Level 1,Day 9
36,marry,/ˈmæri/,v.,结婚,They married a month after they met. 去年 他们在认 识一个月后就结婚了。,Level 1,Day 9
37,family,/ˈfæməli/,n.,家庭,The company was a family business. 这家公司是 一个家族企业。,Level 1,Day 9
38,wear,/wer/,v.,穿，戴 [过去式wore 过去分词worn 现在分词wearing],He was wearing a brown uniform. 他穿着一件棕 色制服。,Level 1,Day 9
39,kind,/kaɪnd/,n.,种类,three kinds of cakes 三种蛋糕,Level 1,Day 9
40,young,/jʌŋ/,adj.,年轻的 local e.g. He seems so young. 他看来那么年轻。,,Level 1,Day 9
1,sale,/seɪl/,n.,销售；出售,Tickets go on sale this week. 票本周开始出售。,Level 1,Day 10
2,sell,/sel/,v.,销售；出卖 [过去式sold 过去分词sold 现在分词selling],When is the best time to sell? 什么时候才是出售 的最佳时机呢?,Level 1,Day 10
3,shop,/ʃɑːp/,n.,商店,He is managing the shop. 他经营着该商店。,Level 1,Day 10
